image_id,detection_confidence,image_timestamp,detection_source,mmsi,vessel_name,vessel_flag,vessel_type,vessel_id,detection_lat,detection_lon,fishing_event_lat,fishing_event_lon,event_start,event_end,event_id,event_type,event_duration_hours,potential_risk,is_high_risk,eez_regions,rfmo_regions,fao_regions,mpa_regions,distance_from_shore_km,distance_from_port_km,total_distance_km,average_speed_knots,ingested_at,fishing_processed_at,detection_processed_at
0,0.7189323739694451,2025-04-24,ASUS_GX10_SAR,412217999,FU XING HAI,CHN,fishing,c9cd293cc-cf88-09db-d44d-c42a49e520cc,42.77149158900379,-54.87135334236173,-63.0763,-58.3276,2025-04-11 08:45:05+00:00,2025-04-24 23:52:58+00:00,a44ef375d861620f301921c228510970,fishing,327.13,False,False,[],"['IWC', 'CCAMLR', 'ACAP']","['48', '48.1']",[],10.0,119.360766,1214.591535861963,1.987108720776414,2026-04-25 05:35:10.713253+00:00,2026-04-25 08:32:32.989000+00:00,2026-04-25 08:54:10.429088+00:00
1,0.7993815663326918,2025-04-24,ASUS_GX10_SAR,412500991,GUIHEYU80868,CHN,fishing,c430df1fb-b2fd-391f-42c3-4ba6dfb07f0e,40.769517290924284,144.99794723449332,21.2144,113.2719,2025-04-13 20:18:46+00:00,2025-04-24 23:59:55+00:00,4005431add64d6cf2870166fff4fd4b8,fishing,267.69,False,True,['8486'],"['APFIC', 'ACAP', 'WCPFC', 'IWC']",['61'],[],101.0,113.102062,1600.7046165604434,3.179370234397067,2026-04-25 05:35:10.713253+00:00,2026-04-25 08:32:32.989000+00:00,2026-04-25 08:54:10.429088+00:00
2,0.7535715033448905,2025-04-24,ASUS_GX10_SAR,412423968,ZHEPUYU68602,CHN,fishing,4e91311c8-8352-cef3-aeb6-1353d6f8299f,-50.68966167628658,-94.88999893649454,29.9472,122.2669,2025-04-14 02:15:47+00:00,2025-04-24 23:59:45+00:00,87494e0fe3d889ead8fdbb198a12fe7a,fishing,261.73,False,True,['8486'],"['NACA', 'WCPFC', 'APFIC']",['61'],[],1.0,0.0,35.0835114000796,0.16774047186932878,2026-04-25 05:35:10.713253+00:00,2026-04-25 08:32:32.989000+00:00,2026-04-25 08:54:10.429088+00:00
3,0.7870903553842281,2025-04-24,ASUS_GX10_SAR,432448000,SHOEIMARU NO.1,JPN,fishing,2af817e06-6033-41f1-4543-36d21d18dc85,31.05995747748257,30.79812374562175,28.1454,-15.4218,2025-04-14 14:13:12+00:00,2025-04-27 07:46:23+00:00,ea3331cf6a49b321f49b0d6ccaa316ee,fishing,305.55,False,False,['8364'],['EIFAAC'],"['34.1.2', '34', '34.1']",[],1.0,0.0,76.09876483587223,0.9807186678352322,2026-04-25 05:35:10.713253+00:00,2026-04-25 08:32:32.989000+00:00,2026-04-25 08:54:10.429088+00:00
4,0.9181490824882037,2025-04-24,ASUS_GX10_SAR,412287951,JIHUANGYU02992,CHN,fishing,5b974a125-5d0d-8c2e-9dc3-19d1674380fa,54.36938555700233,-123.82181455530107,29.4415,123.1417,2025-04-14 20:52:43+00:00,2025-04-24 07:25:21+00:00,eef646e1453c7b0c7081d272da146689,fishing,226.54,False,True,['8486'],"['IWC', 'WCPFC', 'APFIC', 'ACAP']",['61'],[],75.0,63.64834,1002.4692925122266,2.4257793499889475,2026-04-25 05:35:10.713253+00:00,2026-04-25 08:32:32.989000+00:00,2026-04-25 08:54:10.429088+00:00
5,0.9229306226252489,2025-04-24,ASUS_GX10_SAR,657265600,BANARLY X,NGA,fishing,281edd103-3e20-3642-8861-cb828c3a7d20,44.398509009764396,96.40206067851733,4.3643,8.3363,2025-04-15 11:49:09+00:00,2025-04-24 23:58:56+00:00,478baad85d6a1fa0e447fbda9915dda2,fishing,228.16,False,True,['8474'],"['IWC', 'NAMMCO', 'ICCAT', 'FCWC', 'COREP', 'ACAP']","['34.3', '34', '34.3.5']",[],26.0,2.485009,996.6860426379129,2.472637263726372,2026-04-25 05:35:10.713253+00:00,2026-04-25 08:32:32.989000+00:00,2026-04-25 08:54:10.429088+00:00
6,0.807038775023832,2025-04-24,ASUS_GX10_SAR,244373000,MDV2 METANOIA,NLD,fishing,68020d998-88cb-bde8-1cb0-b53b73770862,-36.120979902064164,73.71582531071675,54.6205,6.2248,2025-04-16 22:17:54+00:00,2025-04-24 01:09:21+00:00,5b6ea98a4a449a0021a227a2a8084929,fishing,170.86,False,True,"['5674', '5668', '5669']","['IWC', 'ICCAT', 'ICES', 'ACAP', 'NAMMCO', 'NEAFC', 'NASCO']","['27', '27.4.b', '27.4']","['555557194', '555517780', '555638666']",73.0,36.204191,1016.2529125491358,3.139221087161771,2026-04-25 05:35:10.713253+00:00,2026-04-25 08:32:32.989000+00:00,2026-04-25 08:54:10.429088+00:00
7,0.743895496837789,2025-04-24,ASUS_GX10_SAR,231053000,ARCTIC VIKING,FRO,fishing,473f1e455-5466-2295-87d1-800d0fa967a4,-15.35725848790478,32.410055463824904,74.3213,35.5735,2025-04-17 01:45:35+00:00,2025-04-24 23:53:00+00:00,5ad2c21b392a1c6eb8253f560afa9ce2,fishing,190.12,False,False,['33181'],"['NASCO', 'NEAFC', 'ACAP', 'IWC', 'ICES', 'NAMMCO']","['27', '27.1.a', '27.1']",[],414.0,425.493406,903.5986568631771,2.6102287071121486,2026-04-25 05:35:10.713253+00:00,2026-04-25 08:32:32.989000+00:00,2026-04-25 08:54:10.429088+00:00
8,0.9620541313924922,2025-04-24,ASUS_GX10_SAR,412327202,LUDONGGANGYU61975,CHN,fishing,61ea37836-6850-2791-8af9-c433733130c1,21.45849404751766,-161.3525451152667,35.4409,120.3727,2025-04-17 02:51:35+00:00,2025-04-24 23:51:56+00:00,8bd94d6f76f34cc6abecc7eea4cd54ea,fishing,189.01,False,True,['8486'],"['ACAP', 'IWC', 'WCPFC', 'PICES']",['61'],[],48.0,31.909305,772.5419965183493,2.297001071046057,2026-04-25 05:35:10.713253+00:00,2026-04-25 08:32:32.989000+00:00,2026-04-25 08:54:10.429088+00:00
9,0.9450883435214537,2025-04-24,ASUS_GX10_SAR,250103600,CISEMAIR,IRL,fishing,d00dc86c9-92f2-5d06-275c-103f79807dbe,24.39881415215214,-138.83307881076968,53.711,-5.8209,2025-04-17 08:07:49+00:00,2025-04-24 20:05:02+00:00,05f25a9669219ce7dcf64be0350c160d,fishing,179.95,False,True,"['5696', '5681']","['ACAP', 'NAMMCO', 'ICES', 'ICCAT', 'NASCO', 'IWC', 'NEAFC']","['27.7.a', '27.7', '27']",[],0.0,6.704309,896.1567376048989,2.8157945694618447,2026-04-25 05:35:10.713253+00:00,2026-04-25 08:32:32.989000+00:00,2026-04-25 08:54:10.429088+00:00
