image_id,detection_confidence,image_timestamp,detection_source,mmsi,vessel_name,vessel_flag,vessel_type,vessel_id,detection_lat,detection_lon,fishing_event_lat,fishing_event_lon,event_start,event_end,event_id,event_type,event_duration_hours,potential_risk,is_high_risk,eez_regions,rfmo_regions,fao_regions,mpa_regions,distance_from_shore_km,distance_from_port_km,total_distance_km,average_speed_knots,ingested_at,fishing_processed_at,detection_processed_at,ship_image_url
0,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,105402112,QIONG DAN YU 12010,,,105402112,21.5,115.0,21.5,115.0,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0000,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
1,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,182580004,SUQIYU18258*004_7.9V,,,182580004,32.0,122.19999694824219,32.0,122.19999694824219,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0001,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
2,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,200027900,200027900,,,200027900,20.9,111.30000305175781,20.7,111.19999694824219,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0002,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
3,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,201299910,LIN 12999--10-86%,ALB,,201299910,28.6,121.5999984741211,28.7,121.80000305175781,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0003,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
4,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,210577000,RED DOLPHIN,CYP,,210577000,3.8,8.699999809265137,3.8,8.699999809265137,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0004,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
5,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,215060000,ALLEGRA,MLT,,215060000,-33.7,17.399999618530273,-34.2,18.0,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0005,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
6,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,218056970,MOMO,DEU,,218056970,-0.7,-90.30000305175781,-0.7,-90.30000305175781,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0006,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
7,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,219646000,MATHILDE MAERSK,DNK,,219646000,21.6,-17.700000762939453,20.6,-18.0,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0007,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
8,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,224082580,EL MACIZO,ESP,,224082580,27.7,-15.5,27.7,-15.5,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0008,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
9,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,225319000,NUEVO MONTE VENTOSO,ESP,,225319000,-17.1,-78.5999984741211,-17.7,-78.30000305175781,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0009,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
