start,end,id,type,bounding_box,encounter,gap,loitering,port_visit,position.lat,position.lon,regions.mpa,regions.eez,regions.rfmo,regions.fao,regions.major_fao,regions.eez_12_nm,regions.high_seas,regions.mpa_no_take_partial,regions.mpa_no_take,distances.start_distance_from_shore_km,distances.end_distance_from_shore_km,distances.start_distance_from_port_km,distances.end_distance_from_port_km,vessel.id,vessel.name,vessel.ssvid,vessel.flag,vessel.type,vessel.public_authorizations,vessel.nextPort,fishing.total_distance_km,fishing.average_speed_knots,fishing.average_duration_hours,fishing.potential_risk,fishing.vessel_public_authorization_status,ingested_at
2025-04-11 08:45:05+00:00,2025-04-24 23:52:58+00:00,a44ef375d861620f301921c228510970,fishing,"[-57.577290000000005, -63.176658333333336, -59.02017666666666, -62.872145]",,,,,-63.0763,-58.3276,[],[],"['IWC', 'CCAMLR', 'ACAP']","['48', '48.1']",['48'],[],['63203'],[],[],10.0,46.0,119.360766,55.545089999999995,c9cd293cc-cf88-09db-d44d-c42a49e520cc,FU XING HAI,412217999,CHN,fishing,"[{'has_publicly_listed_authorization': None, 'rfmo': None}]",,1214.591535861963,1.987108720776414,,False,publicly_authorized,2026-04-25 05:35:10.713253
2025-04-13 20:18:46+00:00,2025-04-24 23:59:55+00:00,4005431add64d6cf2870166fff4fd4b8,fishing,"[112.0947, 20.469755, 113.993533, 21.602545]",,,,,21.2144,113.2719,[],['8486'],"['APFIC', 'ACAP', 'WCPFC', 'IWC']",['61'],['61'],['8486'],[],[],[],101.0,27.0,113.102062,37.806273000000004,c430df1fb-b2fd-391f-42c3-4ba6dfb07f0e,GUIHEYU80868,412500991,CHN,fishing,"[{'has_publicly_listed_authorization': 'false', 'rfmo': 'WCPFC'}]",,1600.7046165604434,3.179370234397067,,False,not_matching_relevant_public_authorization,2026-04-25 05:35:10.713253
2025-04-14 02:15:47+00:00,2025-04-24 23:59:45+00:00,87494e0fe3d889ead8fdbb198a12fe7a,fishing,"[122.265737, 29.944617, 122.268938, 29.949215]",,,,,29.9472,122.2669,[],['8486'],"['NACA', 'WCPFC', 'APFIC']",['61'],['61'],[],[],[],[],1.0,0.0,0.0,0.0,4e91311c8-8352-cef3-aeb6-1353d6f8299f,ZHEPUYU68602,412423968,CHN,fishing,"[{'has_publicly_listed_authorization': 'false', 'rfmo': 'WCPFC'}]",,35.0835114000796,0.16774047186932878,,False,not_matching_relevant_public_authorization,2026-04-25 05:35:10.713253
2025-04-14 14:13:12+00:00,2025-04-27 07:46:23+00:00,ea3331cf6a49b321f49b0d6ccaa316ee,fishing,"[-15.420154999999994, 28.143932, -15.424129999999991, 28.147287]",,,,,28.1454,-15.4218,[],['8364'],['EIFAAC'],"['34.1.2', '34', '34.1']",['34'],[],[],[],[],1.0,1.0,0.0,0.0,2af817e06-6033-41f1-4543-36d21d18dc85,SHOEIMARU NO.1,432448000,JPN,fishing,"[{'has_publicly_listed_authorization': None, 'rfmo': None}]",,76.09876483587223,0.9807186678352322,,False,publicly_authorized,2026-04-25 05:35:10.713253
2025-04-14 20:52:43+00:00,2025-04-24 07:25:21+00:00,eef646e1453c7b0c7081d272da146689,fishing,"[122.945008, 29.19763, 123.367473, 29.633068]",,,,,29.4415,123.1417,[],['8486'],"['IWC', 'WCPFC', 'APFIC', 'ACAP']",['61'],['61'],[],[],[],[],75.0,80.0,63.64834,71.232711,5b974a125-5d0d-8c2e-9dc3-19d1674380fa,JIHUANGYU02992,412287951,CHN,fishing,"[{'has_publicly_listed_authorization': 'false', 'rfmo': 'WCPFC'}]",,1002.4692925122266,2.4257793499889475,,False,not_matching_relevant_public_authorization,2026-04-25 05:35:10.713253
2025-04-15 11:49:09+00:00,2025-04-24 23:58:56+00:00,478baad85d6a1fa0e447fbda9915dda2,fishing,"[8.399452999999994, 4.291628, 8.280157000000003, 4.514393]",,,,,4.3643,8.3363,[],['8474'],"['IWC', 'NAMMCO', 'ICCAT', 'FCWC', 'COREP', 'ACAP']","['34.3', '34', '34.3.5']",['34'],['8474'],[],[],[],26.0,4.0,2.485009,26.778744,281edd103-3e20-3642-8861-cb828c3a7d20,BANARLY X,657265600,NGA,fishing,"[{'has_publicly_listed_authorization': 'false', 'rfmo': 'ICCAT'}]",,996.6860426379129,2.472637263726372,,False,not_matching_relevant_public_authorization,2026-04-25 05:35:10.713253
2025-04-16 22:17:54+00:00,2025-04-24 01:09:21+00:00,5b6ea98a4a449a0021a227a2a8084929,fishing,"[6.5907233333333295, 54.30718, 5.098363333333339, 55.620335]",,,,,54.6205,6.2248,"['555557194', '555517780', '555638666']","['5674', '5668', '5669']","['IWC', 'ICCAT', 'ICES', 'ACAP', 'NAMMCO', 'NEAFC', 'NASCO']","['27', '27.4.b', '27.4']",['27'],[],[],[],[],73.0,187.0,36.204191,11.496024,68020d998-88cb-bde8-1cb0-b53b73770862,MDV2 METANOIA,244373000,NLD,fishing,"[{'has_publicly_listed_authorization': 'false', 'rfmo': 'ICCAT'}]",,1016.2529125491358,3.139221087161771,,False,not_matching_relevant_public_authorization,2026-04-25 05:35:10.713253
2025-04-17 01:45:35+00:00,2025-04-24 23:53:00+00:00,5ad2c21b392a1c6eb8253f560afa9ce2,fishing,"[36.18178, 74.06774666666666, 34.67487666666668, 74.520215]",,,,,74.3213,35.5735,[],['33181'],"['NASCO', 'NEAFC', 'ACAP', 'IWC', 'ICES', 'NAMMCO']","['27', '27.1.a', '27.1']",['27'],[],['63203'],[],[],414.0,346.0,425.493406,438.19625,473f1e455-5466-2295-87d1-800d0fa967a4,ARCTIC VIKING,231053000,FRO,fishing,"[{'has_publicly_listed_authorization': None, 'rfmo': None}]",,903.5986568631771,2.6102287071121486,,False,publicly_authorized,2026-04-25 05:35:10.713253
2025-04-17 02:51:35+00:00,2025-04-24 23:51:56+00:00,8bd94d6f76f34cc6abecc7eea4cd54ea,fishing,"[120.27261, 35.305417, 120.43808, 35.575122]",,,,,35.4409,120.3727,[],['8486'],"['ACAP', 'IWC', 'WCPFC', 'PICES']",['61'],['61'],['8486'],[],[],[],48.0,31.0,31.909305,28.090550999999998,61ea37836-6850-2791-8af9-c433733130c1,LUDONGGANGYU61975,412327202,CHN,fishing,"[{'has_publicly_listed_authorization': 'false', 'rfmo': 'WCPFC'}]",,772.5419965183493,2.297001071046057,,False,not_matching_relevant_public_authorization,2026-04-25 05:35:10.713253
2025-04-17 08:07:49+00:00,2025-04-24 20:05:02+00:00,05f25a9669219ce7dcf64be0350c160d,fishing,"[-6.096063333333333, 53.527425, -5.561083333333333, 53.92214]",,,,,53.711,-5.8209,[],"['5696', '5681']","['ACAP', 'NAMMCO', 'ICES', 'ICCAT', 'NASCO', 'IWC', 'NEAFC']","['27.7.a', '27.7', '27']",['27'],"['5696', '5681']",[],[],[],0.0,31.0,6.704309,29.822541,d00dc86c9-92f2-5d06-275c-103f79807dbe,CISEMAIR,250103600,IRL,fishing,"[{'has_publicly_listed_authorization': 'false', 'rfmo': 'ICCAT'}]",,896.1567376048989,2.8157945694618447,,False,not_matching_relevant_public_authorization,2026-04-25 05:35:10.713253
