image_id,vessel_mmsi,lat,lon,detection_confidence,image_timestamp,image_width,image_height
0,412217999,-63.0763,-58.3276,0.85,2025-04-24,0,0
1,412500991,21.2144,113.2719,0.85,2025-04-24,0,0
2,412423968,29.9472,122.2669,0.85,2025-04-24,0,0
3,432448000,28.1454,-15.4218,0.85,2025-04-27,0,0
4,412287951,29.4415,123.1417,0.85,2025-04-24,0,0
5,657265600,4.3643,8.3363,0.85,2025-04-24,0,0
6,244373000,54.6205,6.2248,0.85,2025-04-24,0,0
7,231053000,74.3213,35.5735,0.85,2025-04-24,0,0
8,412327202,35.4409,120.3727,0.85,2025-04-24,0,0
9,250103600,53.711,-5.8209,0.85,2025-04-24,0,0
10,412549332,11.3327,-17.1731,0.85,2025-04-24,0,0
11,412549547,11.361,-17.1814,0.85,2025-04-24,0,0
12,231045000,74.4157,33.4714,0.85,2025-04-24,0,0
13,412501018,21.0083,112.9932,0.85,2025-04-24,0,0
14,412284674,39.2071,118.1415,0.85,2025-04-24,0,0
15,232028822,59.7856,-0.0813,0.85,2025-04-24,0,0
16,257271600,46.484,-45.7495,0.85,2025-04-30,0,0
17,224534000,46.4639,-46.7309,0.85,2025-04-24,0,0
18,228455900,52.1459,-13.913,0.85,2025-04-28,0,0
19,246429000,59.2475,-7.1108,0.85,2025-04-24,0,0
20,227275010,49.271,-11.0912,0.85,2025-04-24,0,0
21,553111844,-10.0426,140.8745,0.85,2025-05-02,0,0
22,440055000,7.1018,171.3698,0.85,2025-04-24,0,0
23,228299900,48.8805,-10.1865,0.85,2025-04-24,0,0
24,413050915,-20.155,109.7577,0.85,2025-04-24,0,0
25,235021707,50.1097,-9.2619,0.85,2025-04-24,0,0
26,232007173,60.034,2.2252,0.85,2025-04-26,0,0
27,412529968,22.7101,114.5293,0.85,2025-04-24,0,0
28,412446721,23.6028,117.9517,0.85,2025-04-24,0,0
29,235002165,54.1084,1.1823,0.85,2025-04-24,0,0
30,9135389,13.1091,100.6556,0.85,2025-04-24,0,0
31,258154000,46.5081,-45.8477,0.85,2025-04-24,0,0
32,412916888,21.0208,113.0829,0.85,2025-04-24,0,0
33,412549331,11.3637,-17.178,0.85,2025-04-24,0,0
34,412467802,21.193,111.2891,0.85,2025-04-24,0,0
35,250000141,53.7094,-5.835,0.85,2025-04-24,0,0
36,525600288,-31.9916,93.6563,0.85,2025-04-24,0,0
37,205166000,50.877,-5.3236,0.85,2025-04-24,0,0
38,228045900,50.4792,-6.0109,0.85,2025-04-24,0,0
39,234209000,49.6876,-0.6982,0.85,2025-04-24,0,0
40,232025724,57.7735,-0.6293,0.85,2025-04-24,0,0
41,223421114,22.7099,114.5424,0.85,2025-04-24,0,0
42,412501037,21.5234,113.2039,0.85,2025-04-24,0,0
43,412321952,35.2947,120.3227,0.85,2025-04-24,0,0
44,463172622,23.8403,67.1265,0.85,2025-04-24,0,0
45,503061850,-22.3749,153.255,0.85,2025-04-24,0,0
46,412549341,11.4006,-17.1893,0.85,2025-04-24,0,0
47,600925197,21.8602,114.2929,0.85,2025-04-24,0,0
48,412443189,28.6938,121.4713,0.85,2025-04-24,0,0
49,888686668,20.8912,112.7486,0.85,2025-04-24,0,0
50,412422665,29.946,122.2611,0.85,2025-04-24,0,0
51,412441908,23.5531,117.9306,0.85,2025-04-24,0,0
52,567906493,12.3958,100.1585,0.85,2025-04-24,0,0
53,273435580,60.3341,-6.1964,0.85,2025-04-24,0,0
54,412465641,21.8008,114.2769,0.85,2025-04-24,0,0
55,263442601,74.2693,35.6319,0.85,2025-04-24,0,0
56,312697000,5.6039,0.0433,0.85,2025-04-24,0,0
57,525124161,4.9428,98.3872,0.85,2025-04-24,0,0
58,235114728,54.2241,-5.1534,0.85,2025-04-24,0,0
59,412438519,29.7713,123.5925,0.85,2025-04-24,0,0
60,273391650,60.3246,-6.1957,0.85,2025-04-25,0,0
61,412435861,27.9636,124.4606,0.85,2025-04-24,0,0
62,273555000,69.7054,43.2535,0.85,2025-04-24,0,0
63,417091202,12.8819,100.5293,0.85,2025-04-24,0,0
64,567907914,12.9097,100.5778,0.85,2025-04-24,0,0
65,567233062,13.2129,100.491,0.85,2025-04-24,0,0
66,463166786,24.6878,63.1918,0.85,2025-04-24,0,0
67,659100000,-21.9726,12.7384,0.85,2025-04-24,0,0
68,412416429,27.5815,122.8506,0.85,2025-04-24,0,0
69,227436000,52.4166,-12.0936,0.85,2025-04-24,0,0
70,242453400,27.6738,-13.6466,0.85,2025-04-24,0,0
71,603100421,-8.0175,12.6582,0.85,2025-04-24,0,0
72,412500858,18.8062,107.487,0.85,2025-04-24,0,0
73,235098956,57.8296,-0.5894,0.85,2025-04-26,0,0
74,412326756,35.287,120.3245,0.85,2025-04-24,0,0
75,228089900,49.2589,-5.7902,0.85,2025-04-24,0,0
76,412463576,21.5679,111.9864,0.85,2025-04-24,0,0
77,224463000,-46.1572,-60.5395,0.85,2025-04-24,0,0
78,463172383,24.7191,62.9614,0.85,2025-04-24,0,0
79,250000917,50.3815,-10.7376,0.85,2025-04-24,0,0
80,412418256,27.2014,121.4745,0.85,2025-04-24,0,0
81,412468869,22.7101,114.5294,0.85,2025-04-24,0,0
82,228004700,52.8119,-12.2029,0.85,2025-04-24,0,0
83,412424137,29.9421,122.2668,0.85,2025-04-24,0,0
84,412519868,20.4086,111.295,0.85,2025-04-24,0,0
85,412469645,22.6984,114.5301,0.85,2025-04-24,0,0
86,273259100,60.3549,-6.1887,0.85,2025-04-24,0,0
87,701000583,-41.7923,-57.885,0.85,2025-04-24,0,0
88,574946521,19.2585,107.0482,0.85,2025-04-24,0,0
89,525800518,-32.1211,93.4414,0.85,2025-04-24,0,0
90,900029161,23.0364,117.6235,0.85,2025-04-24,0,0
91,567907906,12.3714,101.1806,0.85,2025-04-24,0,0
92,257294720,64.8609,11.285,0.85,2025-05-12,0,0
93,412501044,21.6849,113.6988,0.85,2025-04-24,0,0
94,367751630,41.2073,-71.1206,0.85,2025-04-24,0,0
95,447659000,29.1201,48.8403,0.85,2025-04-24,0,0
96,567909966,12.3884,101.2847,0.85,2025-04-24,0,0
97,463171028,24.0823,62.8617,0.85,2025-04-24,0,0
98,273433540,58.0303,152.8959,0.85,2025-04-24,0,0
99,629009092,13.1814,-17.4116,0.85,2025-04-24,0,0
