lat,lng,flag,name,hours
28.4,125.2,CHN,ZHONG YU 801,8.5
31.7,123.1,CHN,LIAO YU 2156,12.3
34.2,122.4,KOR,DONGWON 701,6.2
26.8,126.3,CHN,MIN YU 5038,14.1
35.8,121.6,CHN,LIAO YU 8821,9.7
29.1,124.8,TWN,LIEN YI HSIANG 66,7.4
32.5,123.9,CHN,JI YUAN YU 701,18.2
37.1,121.3,KOR,GWANGYANG 105,5.8
24.6,127.1,CHN,YUE YANG YUAN YU 5,11.6
36.4,122.7,CHN,LIAO DANG YU 8001,16.3
30.9,124.5,JPN,KOYO MARU,4.2
33.7,122.1,KOR,SAJO OYANG 77,8.9
27.3,125.9,CHN,HAI YUAN 06,13.5
38.2,120.8,CHN,LIAO YU 6712,7.1
25.9,126.7,TWN,CHIN FENG 68,10.4
31.4,123.6,CHN,ZHEJIANG YU 22102,15.8
35.3,121.4,CHN,SHANDONG YU 111,9.3
29.7,124.3,KOR,INSUNG 22,6.7
28.1,125.5,CHN,FUJIAN YU 85068,11.2
33.1,123.2,TWN,HSIANG CHUN 2,8.6
36.9,121.8,CHN,LIAO YU 3367,14.7
30.5,124.1,CHN,RONGCHENG YU 018,12.1
24.3,127.4,JPN,TAIYO MARU 58,5.9
37.6,121.1,KOR,HANIL 101,7.8
32.8,122.9,CHN,JIANGSU YU 10188,16.4
28.7,125.1,CHN,ZHEJIANG YU 00120,9.8
35.6,121.7,CHN,SHANDONG YU 62001,13.2
31.1,123.8,KOR,SILLA QUEEN,8.1
26.5,126.1,TWN,KUO LUNG NO. 8,11.7
29.4,124.6,CHN,MIN YU 1028,14.3
22.1,121.4,TWN,CHIN HSING 18,9.6
21.3,121.8,TWN,HSIANG SHENG 22,11.2
23.5,120.9,TWN,HO TSAI 7,8.8
15.6,113.2,CHN,QIONG QH 10698,9.2
10.3,114.8,CHN,GUANGDONG YU 81012,14.7
18.7,111.4,VNM,SONG LOC 6789,6.8
12.4,115.6,CHN,QIONG QH 04521,11.3
7.8,116.9,PHL,MARICEL 7,4.5
20.1,110.3,CHN,ZHANJIANG YU 38001,16.2
14.2,113.9,CHN,YUE YANG YUAN YU 18,12.8
8.6,117.5,IDN,KM BAHAGIA 01,7.3
16.9,112.1,VNM,HAI DUONG 01,8.9
11.5,115.1,CHN,HAINAN YU 23801,13.6
19.4,110.8,CHN,QIONG QH 87235,10.4
6.2,117.8,MYS,KINABALU MAJU,5.1
13.8,114.3,CHN,GUANGDONG YU 99012,15.7
9.7,116.2,PHL,LUCKY STAR 8,6.6
17.5,111.7,VNM,QUANG BINH 90045,9.1
21.3,110.1,CHN,ZHANJIANG YU 51002,17.3
7.4,118.1,IDN,KM SEJAHTERA 03,8.4
15.1,113.6,CHN,QIONG QH 66789,11.9
10.8,115.4,VNM,BINH DINH 9801,7.7
12.9,114.7,CHN,GUANGDONG YU 40021,14.2
18.2,111.2,VNM,KHANH HOA 12345,8.3
6.7,117.3,MYS,BIDAYUH JAYA,4.9
16.4,112.8,CHN,HAINAN YU 55001,13.4
9.2,116.6,PHL,ANGELICA MARIE,5.8
20.8,110.5,CHN,QIONG QH 12567,16.8
5.3,109.8,VNM,PHU YEN 88001,7.4
8.1,118.4,IDN,KM JAYA BARU,6.2
13.2,114.1,CHN,GUANGDONG YU 72001,14.9
4.8,-1.9,GHA,MENSU 1,8.2
2.3,3.7,NGA,ATLANTIC PRINCESS,11.4
7.2,-3.1,GHA,VOLTA STAR,6.9
0.5,6.8,CHN,GUANG YUAN YU 8,14.3
5.9,-0.8,GHA,AKOSUA ABENA,7.6
3.1,5.2,NGA,DELTA QUEEN,10.8
8.4,-4.6,GHA,NKRUMAH FISHER,5.3
1.7,4.1,CHN,MIN YU 9803,13.7
6.5,-2.4,TGO,LOME STAR,9.1
4.2,2.8,BEN,COTONOU BAY,6.4
-0.3,7.5,STP,SAO TOME 01,4.8
7.8,-5.3,CIV,ABIDJAN FISHER,7.9
2.8,4.6,NGA,NIGERIA PRIDE,12.1
5.4,-1.2,GHA,GHANA PIONEER,8.7
3.6,6.1,NGA,BIGHT QUEEN,11.3
0.9,5.8,CHN,ZHEJIANG YU 88001,15.2
6.1,-3.7,GHA,WEST AFRICA 7,6.8
4.5,3.2,NGA,LAGOS STAR,9.6
-1.2,7.2,COM,COMOROS 15,8.1
5.7,-0.3,GHA,ACCRA FISHER,7.3
9.3,-6.1,LBR,MONROVIA STAR,5.6
1.4,8.9,GNQ,MALABO PRIDE,6.4
6.8,-4.2,CIV,IVORY COAST 22,7.8
3.9,5.6,NGA,WARRI FISHER,9.1
-0.8,-90.2,CHN,JIN HAO YU 36,16.4
1.2,-91.8,CHN,LIAONING OCEAN 5,14.8
-2.1,-89.5,ECU,DON WILO,8.9
0.4,-90.6,CHN,HAI JIN YU 12,15.3
-1.5,-91.1,TWN,CHIN SHIN 6,11.7
2.3,-92.4,CHN,ZHEJIANG YU 22801,17.2
-0.2,-89.8,ECU,ATLANTIC FISHER,7.6
1.8,-90.9,CHN,GUANG YU 508,14.1
-3.1,-88.7,PER,PERUANA 23,6.8
0.7,-91.5,CHN,HAI YANG YU 88,16.9
-1.9,-90.3,ECU,SAN CRISTOBAL,8.4
2.8,-92.1,CHN,MIN YU 7028,15.6
-0.5,-89.1,ECU,ISABELA STAR,9.2
1.4,-91.2,TWN,HSIANG SHENG 3,12.4
3.1,-93.5,CHN,QING YUAN YU 5,16.1
-2.7,-88.3,ECU,FLOREANA 01,7.9
0.9,-90.5,CHN,ZHEJIANG YU 33801,15.4
-1.1,-91.7,TWN,CHIN FENG 12,11.8
14.2,88.5,IND,SAGAR KIRAN,7.3
18.6,85.3,IND,JALPARI 08,9.1
11.4,90.7,BGD,SUNDARBAN 201,6.4
16.8,86.9,IND,MEGHNA 15,8.7
9.3,92.1,THA,PRASERT CHAI,10.2
21.4,88.2,IND,HOOGHLY QUEEN,7.8
13.7,89.6,BGD,PADMA 88,5.9
17.5,85.8,IND,CHILIKA 07,8.4
10.8,91.4,THA,SAMUT PRAKAN 5,9.7
20.1,87.1,IND,ORISSA FISHER,7.2
12.3,90.2,BGD,MEGHNA 201,6.8
15.6,88.9,IND,BAY QUEEN 12,9.3
8.7,92.8,THA,PHUKET 302,11.4
19.8,86.4,IND,DEOGARH 08,7.6
14.9,89.1,BGD,TENTULIA 15,5.7
11.7,91.1,IND,ANDAMAN STAR,8.9
13.2,90.8,CHN,GUANG YUAN 801,13.6
18.3,86.2,IND,CHILIKA FISHER,7.1
16.1,87.4,IND,PARADIP 22,8.2
10.2,92.5,THA,SURIN ISLAND,10.8
20.7,87.8,IND,BHUBANESWAR 08,8.6
12.8,90.5,BGD,BARISAL 15,6.3
15.3,88.3,IND,VIZAG QUEEN,9.4
56.4,-5.2,GBR,NORTHERN LIGHT,6.3
60.8,-4.1,GBR,ATLANTIC DAWN,8.7
52.3,-8.9,IRL,MARIE LOUISE,7.1
58.1,-2.8,GBR,FARNELLA,9.4
63.7,-3.5,NOR,ATLANTIC EAGLE,12.3
47.5,-7.8,FRA,BOULOGNE QUEEN,6.9
55.9,-5.6,GBR,SOLAN,8.2
61.4,-3.9,NOR,KRISTIN,11.6
50.8,-9.2,FRA,CELTIC ENDEAVOUR,7.5
57.6,-4.3,GBR,STRATHMORE,9.1
64.2,-2.1,NOR,HAVFISK,13.4
48.9,-8.4,FRA,EMERAUDE,7.8
53.7,-7.1,IRL,WESTERN WIND,8.6
59.3,-3.7,GBR,OCEAN PIPER,10.2
62.8,-1.8,NOR,LONGVA,12.7
46.8,-6.4,FRA,LORIENT STAR,7.4
54.6,-6.8,IRL,ATLANTIC QUEEN,8.3
60.1,-3.2,GBR,SHETLAND STAR,9.7
65.3,-1.4,NOR,ALESUND,13.1
49.7,-9.6,FRA,DOUARNENEZ,8.1
55.2,-4.9,GBR,ULSTER FISHER,7.9
61.7,-2.7,NOR,HARSTAD,12.6
-12.4,-77.8,CHN,MIN YU 5701,14.2
-8.3,-79.6,PER,PRIMAVERA 01,8.7
-15.7,-76.3,CHN,ZHEJIANG YU 12001,15.8
-10.1,-78.9,PER,EXALA 11,7.4
-6.8,-80.5,ECU,GALVEZ 7,9.1
-13.9,-77.1,CHN,LIAO YUAN YU 808,13.6
-9.4,-79.2,PER,DIAMANTE 22,8.2
-18.2,-75.4,CHN,YANTAI YU 908,16.3
-7.5,-80.1,PER,ESPERANZA 15,7.9
-11.6,-78.2,CHN,HAI YUAN YU 308,14.7
-16.4,-75.9,PER,ARCALA 08,8.5
-8.9,-79.8,CHN,MIN YU 3302,15.1
-14.2,-76.7,PER,MARIA ELENA,7.6
-6.1,-81.3,ECU,ESMERALDAS 03,9.4
-19.5,-74.8,CHN,SHANDONG YU 88001,16.7
-9.8,-79.4,PER,CAMPOSOL 12,8.1
-12.7,-77.5,CHN,MIN YU 4801,14.8
-7.2,-80.7,PER,ANCHOVETA 05,7.3
37.8,14.2,ITA,ANNA MARIA,6.1
40.3,18.7,ITA,MADONNA DEL MARE,7.8
35.9,12.8,MLT,MALTA QUEEN,5.4
38.6,16.1,ITA,SAN GIOVANNI,8.3
42.1,8.9,FRA,SAINT JEAN,7.2
36.4,13.5,TUN,TUNIS STAR,6.7
39.7,17.3,ITA,PESCARA 12,9.1
34.8,11.6,TUN,SFAX FISHER,5.9
41.5,9.4,FRA,PORTO VECCHIO,7.5
37.2,15.6,ITA,CATANIA FISHER,8.6
35.3,12.1,MLT,VALLETTA 08,6.2
40.8,18.2,ITA,BRINDISI QUEEN,9.4
36.1,13.9,TUN,GABES STAR,6.8
38.3,15.4,ITA,MESSINA 22,8.1
43.5,7.8,FRA,NICE BELLE,7.3
36.8,11.2,TUN,TUNIS FISHER,6.4
39.2,17.8,ITA,TARANTO 08,8.9
34.5,14.4,MLT,COMINO,5.7
41.8,9.1,FRA,BASTIA STAR,7.1
37.5,14.8,ITA,PALERMO 15,8.4
72.4,28.6,RUS,GREMIKHA,11.3
75.8,42.1,RUS,NOVAYA ZEMLYA,13.7
69.3,24.8,NOR,NORDKAPP,9.4
74.2,36.5,RUS,VARZUGA,12.8
70.6,19.3,NOR,BARENTS SEA,10.1
76.4,44.2,RUS,BELOMORYE,14.3
71.9,27.1,NOR,TROMSO QUEEN,9.8
73.5,38.7,RUS,MURMAN,11.9
69.8,21.6,NOR,HAMMERFEST,10.5
77.1,40.3,RUS,ARKTIKA,14.8
70.2,26.4,NOR,BATSFJORD,9.1
74.8,33.9,RUS,KOLA,12.4
71.4,29.8,NOR,KIRKENES 08,10.3
75.3,45.6,RUS,ARCHANGELSK,13.6
-42.3,-57.8,ARG,ATLAS 25,8.4
-48.6,-53.2,CHN,YUAN XING 6,14.7
-45.1,-56.4,ARG,ARGENOVA 08,7.9
-51.8,-48.9,CHN,MIN YU 8801,15.3
-39.7,-58.6,ARG,TRES MARIAS,8.1
-46.4,-54.7,CHN,ZHEJIANG YU 68001,13.9
-43.8,-57.1,ARG,ATLAS 18,7.6
-50.2,-50.3,CHN,HAI YUAN 12,14.2
-47.5,-53.8,URY,MONTE URUGUAY,8.8
-40.9,-58.1,ARG,TRES MARES 5,7.3
-52.4,-47.6,CHN,LIAO YU 5508,15.7
-44.6,-55.9,ARG,PESQUERA DEL SUR,8.5
-49.1,-51.4,CHN,MIN YU 6603,14.6
-41.3,-57.5,ARG,MAR DEL PLATA 22,7.8
-53.7,-46.2,CHN,ZHEJIANG YU 55001,16.3
-43.2,-56.8,ARG,VENUS 08,8.2
-48.4,-52.1,CHN,SHANDONG YU 77001,14.4
-5.4,128.7,IDN,KM SUMBER MAKMUR,7.2
-3.1,130.2,IDN,KM BAHARI JAYA,6.8
-6.8,127.4,IDN,KM LAUTAN BIRU,8.1
-4.5,129.6,CHN,GUANG YUAN YU 506,12.4
