date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2024-06-01,-59.2,-48.7,440863000,0.4161,0
2024-06-01,-59.2,-48.6,440863000,0.2177,0
2024-06-01,-59.1,-48.6,440863000,1.16,0.2333
2024-06-01,-59.1,-48.5,440863000,0.5491,0
2024-06-01,-59.1,-48.9,440863000,0.2672,0
2024-06-01,-59.1,-48.7,440863000,0.2658,0
2024-06-01,-59.1,-48.8,440863000,0.3336,0
2024-06-01,-59.1,-48.4,440863000,0.0844,0
2024-06-01,-59,-48.7,440863000,0.2675,0
2024-06-01,-59,-48.6,440863000,0.4233,0
2024-06-01,-59,-48.5,440863000,1.0913,1.0075
2024-06-01,-59,-48.9,440863000,0.3161,0
2024-06-01,-59,-48.4,440863000,0.5877,0
2024-06-01,-59,-49,440863000,0.4327,0
2024-06-01,-58.9,-48.5,440863000,0.6758,0.313
2024-06-01,-58.9,-49,440863000,0.0672,0
2024-06-01,-58.9,-48.4,440863000,0.5602,0
2024-06-01,-58.9,-49.1,440863000,0.7008,0
2024-06-01,-58.8,-48.4,440863000,0.5661,0
2024-06-01,-58.8,-49.1,440863000,0.5163,0
2024-06-01,-58.7,-49.1,440863000,0.6852,0
2024-06-01,-58.7,-48.4,440863000,0.5063,0
2024-06-01,-58.6,-48.4,440863000,0.1894,0
2024-06-01,-58.6,-48.3,440863000,0.363,0
2024-06-01,-58.6,-49.2,440863000,0.458,0
2024-06-01,-58.5,-48.3,440863000,0.5916,0
2024-06-01,-58.5,-49.2,440863000,0.5569,0
2024-06-01,-58.4,-48.2,440863000,0.7336,0
2024-06-01,-58.4,-48.1,440863000,0.4608,0
2024-06-01,-58.4,-49.2,440863000,0.5569,0
2024-06-01,-58.4,-48,440863000,0.46,0
2024-06-01,-58.4,-48.3,440863000,0.3991,0
2024-06-01,-58.3,-48.3,440863000,0.6408,0
2024-06-01,-58.3,-48.1,440863000,0.1719,0
2024-06-01,-58.3,-49.2,440863000,0.6286,0
2024-06-01,-58.2,-49.3,440863000,0.5636,0
2024-06-01,-58.2,-48,440863000,0.3272,0
2024-06-01,-58.2,-48.1,440863000,0.1997,0
2024-06-01,-58.2,-48.3,440863000,0.0691,0
2024-06-01,-58.2,-48.2,440863000,0.3205,0
2024-06-01,-58.1,-47.8,440863000,0.2388,0
2024-06-01,-58.1,-49.3,440863000,0.7433,0
2024-06-01,-58.1,-48,440863000,0.1172,0
2024-06-01,-58.1,-47.9,440863000,0.4658,0
2024-06-01,-58,-49.3,440863000,0.5241,0
2024-06-01,-58,-47.8,440863000,0.4049,0
2024-06-01,-58,-47.7,440863000,0.425,0
2024-06-01,-57.9,-48.1,440863000,0.368,0.033
2024-06-01,-57.9,-47.9,440863000,0.5958,0.5958
2024-06-01,-57.9,-48.2,440863000,0.1202,0
2024-06-01,-57.9,-47.8,440863000,0.4686,0.2852
2024-06-01,-57.9,-48,440863000,0.4986,0.4986
2024-06-01,-57.9,-47.7,440863000,0.3002,0.0858
2024-06-01,-57.8,-48.3,440863000,0.1605,0
2024-06-01,-57.8,-48.2,440863000,0.1911,0
2024-06-01,-55.3,-36.7,665111129,0.2552,0
2024-06-01,-55.3,-36.6,665111129,1.5227,0
2024-06-01,-55.3,-36.5,665111129,4.5488,3.7363
2024-06-01,-55.3,-36.3,665111129,1.7963,1.3938
2024-06-01,-55.3,-36.4,665111129,4.5244,3.5074
2024-06-01,-55.2,-36.8,665111129,0.3036,0
2024-06-01,-55.2,-36.5,665111129,1.0472,0
2024-06-01,-55.2,-36.7,665111129,1.3511,0
2024-06-01,-55.2,-36.4,665111129,0.175,0
2024-06-01,-55.2,-36.6,665111129,1.5358,0
2024-06-01,-55.1,-36.9,665111129,0.9177,0.5561
2024-06-01,-55.1,-36.8,665111129,3.5349,2.3158
2024-06-01,-55.1,-36.7,665111129,2.4897,1.5997
2024-06-01,-55,158.5,503718000,0.7319,0
2024-06-01,-55,158.6,503718000,2.6369,1.3986
2024-06-01,-54.9,158.6,503718000,4.1944,2.1555
2024-06-01,-54.9,158.5,503718000,0.1883,0
2024-06-01,-54.9,-63,701068000,0.2652,0.2652
2024-06-01,-54.9,-63.2,701068000,1.1808,1.1808
2024-06-01,-54.9,-63.1,701068000,1.6833,1.6833
2024-06-01,-54.8,158.6,503718000,5.7102,4.1722
2024-06-01,-54.8,-63,701000627,1.9722,1.7311
2024-06-01,-54.8,-62.9,701000627,0.8297,0.8297
2024-06-01,-54.8,-63.1,701000627,0.9786,0.9786
2024-06-01,-54.8,-68.3,701006406,25.9002,0
2024-06-01,-54.8,-62.8,701068000,2.0494,1.4669
2024-06-01,-54.8,-62.9,701068000,1.9727,1.6111
2024-06-01,-54.8,-62.7,701068000,0.6155,0
2024-06-01,-54.8,-63,701068000,2.9124,2.2769
2024-06-01,-54.8,-63.1,701068000,1.9344,1.2008
2024-06-01,-54.8,-62.5,701068000,0.1222,0
2024-06-01,-54.8,-63.2,701068000,0.8044,0.3861
2024-06-01,-54.8,-62.6,701068000,0.7222,0
2024-06-01,-54.8,-73.3,725000261,0.4827,0.4827
2024-06-01,-54.8,-73.1,725000261,0.033,0.033
2024-06-01,-54.8,-73.2,725000261,1.1844,1.1844
2024-06-01,-54.7,158.6,503718000,0.3455,0
2024-06-01,-54.7,158.7,503718000,6.2233,5.3824
2024-06-01,-54.7,-62.9,701000627,1.4438,1.3036
2024-06-01,-54.7,-63.1,701000627,1.4224,0.9038
2024-06-01,-54.7,-63.3,701000627,0.1388,0
2024-06-01,-54.7,-63.2,701000627,0.485,0
2024-06-01,-54.7,-63.4,701000627,0.0425,0
2024-06-01,-54.7,-62.8,701000627,1.5274,1.5274
2024-06-01,-54.7,-63,701000627,1.5147,1.0161
2024-06-01,-54.7,-62.4,701068000,0.7341,0
2024-06-01,-54.7,-62.2,701068000,0.473,0
2024-06-01,-54.7,-62.5,701068000,0.5227,0
2024-06-01,-54.7,-62.1,701068000,0.8944,0
2024-06-01,-54.7,-62,701068000,2.3375,1.4325
2024-06-01,-54.7,-61.9,701068000,3.9461,3.553
2024-06-01,-54.7,-62.3,701068000,0.848,0
2024-06-01,-54.7,-73.3,725000261,0.6947,0.6947
2024-06-01,-54.7,-73.4,725000261,1.0358,0.8555
2024-06-01,-54.7,-72.1,725002350,0.1472,0
2024-06-01,-54.7,-72,725002350,0.2955,0
2024-06-01,-54.6,158.7,503718000,4.0172,2.4849
2024-06-01,-54.6,-62.8,701000627,0.1783,0
2024-06-01,-54.6,-63.3,701000627,0.2177,0
2024-06-01,-54.6,-63.4,701000627,1.7266,0.5394
2024-06-01,-54.6,-62.9,701000627,0.4969,0
2024-06-01,-54.6,-73.4,725000261,0.3016,0.0994
2024-06-01,-54.6,-73.5,725000261,1.3358,1.0427
2024-06-01,-54.6,-73.6,725000261,0.5413,0.5413
2024-06-01,-54.6,-73.6,725002300,7.1613,7.0655
2024-06-01,-54.6,-72.2,725002350,0.0325,0
2024-06-01,-54.6,-72.1,725002350,0.6074,0
2024-06-01,-54.5,-35.3,665111130,0.2577,0
2024-06-01,-54.5,-62.8,701000627,0.5691,0
2024-06-01,-54.5,-62.7,701000627,0.1613,0
2024-06-01,-54.5,-73.7,725000261,0.7961,0.7961
2024-06-01,-54.5,-73.6,725000261,1.1497,1.1497
2024-06-01,-54.5,-73.7,725002300,3.538,2.7944
2024-06-01,-54.5,-73.8,725002300,1.978,1.7055
2024-06-01,-54.5,-73.6,725002300,2.4716,1.8838
2024-06-01,-54.5,-71.2,725002350,0.3474,0
2024-06-01,-54.5,-71.1,725002350,0.2355,0
2024-06-01,-54.5,-72.1,725002350,0.5141,0
2024-06-01,-54.5,-72,725002350,0.4644,0
2024-06-01,-54.4,-35.6,259539000,6.0375,5.4827
2024-06-01,-54.4,-35.4,259539000,1.3158,1.3158
2024-06-01,-54.4,-35.5,259539000,5.303,4.5863
2024-06-01,-54.4,-35.7,259539000,0.0583,0
2024-06-01,-54.4,-35.3,665111130,0.6175,0
2024-06-01,-54.4,-62.7,701000627,0.7324,0
2024-06-01,-54.4,-73.7,725000261,0.4561,0.4561
2024-06-01,-54.4,-73.8,725000261,1.4561,1.4561
2024-06-01,-54.4,-73.9,725002300,1.913,1.475
